ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,day_of_week,bike_type,costumer_type
14AD2662670C8A85,1/1/2021 3:19:00,1/1/2021 3:23:00,Calumet Ave & 33rd St,MLK Jr Dr & 29th St,0:03:53,6,classic_bike,member
945913134FF96ECE,1/1/2021 3:26:00,1/1/2021 3:35:00,Clark St & Armitage Ave,Lincoln Ave & Fullerton Ave,0:09:00,6,classic_bike,member
438290C44D7C2DE8,1/1/2021 3:27:00,1/1/2021 3:34:00,Pine Grove Ave & Irving Park Rd,Clarendon Ave & Leland Ave,0:06:53,6,classic_bike,member
5D6B481919ACA759,1/1/2021 3:28:00,1/1/2021 3:50:00,Halsted St & Clybourn Ave,Broadway & Cornelia Ave,0:21:49,6,classic_bike,casual
B14786772A03E8A2,1/1/2021 3:29:00,1/1/2021 3:34:00,MLK Jr Dr & 29th St,Calumet Ave & 33rd St,0:04:22,6,classic_bike,member
3ABF8F4B0C86D36E,1/1/2021 3:29:00,1/1/2021 3:34:00,MLK Jr Dr & 29th St,Calumet Ave & 33rd St,0:04:39,6,classic_bike,member
8ED33D32AEA0B153,1/1/2021 3:29:00,1/1/2021 3:37:00,Broadway & Sheridan Rd,Halsted St & Roscoe St,0:07:58,6,classic_bike,casual
FD5D024C81FA662E,1/1/2021 3:31:00,1/1/2021 3:47:00,Ashland Ave & Division St,Smith Park,0:15:43,6,classic_bike,member
BD08F616FC975923,1/1/2021 3:32:00,1/1/2021 3:46:00,Ashland Ave & Division St,Smith Park,0:14:37,6,classic_bike,member
800887526A3038F4,1/1/2021 3:32:00,1/1/2021 3:47:00,Sheffield Ave & Wrightwood Ave,Damen Ave & Division St,0:15:27,6,electric_bike,member
D5487F302248B856,1/1/2021 3:34:00,1/1/2021 3:43:00,Leavitt St & Chicago Ave,Damen Ave & Pierce Ave,0:08:38,6,classic_bike,member
9AA508A0D61C7226,1/1/2021 3:34:00,1/1/2021 3:47:00,Kosciuszko Park,California Ave & Altgeld St,0:12:37,6,electric_bike,casual
D66BFA489661F326,1/1/2021 4:02:00,1/1/2021 4:09:00,Clarendon Ave & Leland Ave,Pine Grove Ave & Irving Park Rd,0:06:42,6,electric_bike,member
624D6F15DB92E633,1/1/2021 4:07:00,1/1/2021 4:21:00,Western Ave & Leland Ave,Southport Ave & Waveland Ave,0:13:17,6,classic_bike,member
D77FA962E0BF8CAE,1/1/2021 4:09:00,1/1/2021 4:20:00,Wells St & Elm St,Halsted St & Dickens Ave,0:10:52,6,classic_bike,member
06F742086988488B,1/1/2021 4:16:00,1/1/2021 4:20:00,,,0:04:08,6,electric_bike,member
452A97AC22753EC6,1/1/2021 4:17:00,1/1/2021 4:19:00,Racine Ave & 18th St,,0:01:22,6,electric_bike,member
2E0DB2D4F84FFD9D,1/1/2021 4:17:00,1/1/2021 4:25:00,Lake Shore Dr & Monroe St,Wells St & Polk St,0:07:47,6,electric_bike,casual
0E56FFCCD6372EEB,1/1/2021 4:24:00,1/1/2021 4:27:00,Blue Island Ave & 18th St,Paulina St & 18th St,0:03:53,6,classic_bike,member
1D9A28AC5AB147A7,1/1/2021 4:24:00,1/1/2021 8:54:00,South Shore Dr & 71st St,,4:29:11,6,classic_bike,casual
EBDB3468C7B9A40D,1/1/2021 4:32:00,1/1/2021 4:37:00,Wabash Ave & 16th St,Clark St & 9th St (AMLI),0:05:00,6,electric_bike,member
E4F7B2538C05FCE2,1/1/2021 4:42:00,1/1/2021 4:42:00,,,0:00:48,6,electric_bike,casual
5F660018919BAB90,1/1/2021 4:42:00,1/1/2021 4:52:00,Wells St & Concord Ln,Franklin St & Lake St,0:09:42,6,classic_bike,member
E7499B53DF0BEB48,1/1/2021 4:46:00,1/1/2021 5:07:00,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,0:20:39,6,docked_bike,casual
3C1417FDF6B39A5B,1/1/2021 4:46:00,1/1/2021 5:07:00,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,0:20:22,6,docked_bike,casual
D37826D34D1750B1,1/1/2021 4:55:00,1/1/2021 5:22:00,Wilton Ave & Belmont Ave,Orleans St & Chestnut St (NEXT Apts),0:26:30,6,classic_bike,member
AF54AFD75016500C,1/1/2021 5:02:00,1/1/2021 5:12:00,Halsted St & 18th St,May St & Taylor St,0:10:21,6,electric_bike,casual
E30CEBF12B8E4079,1/1/2021 5:02:00,1/1/2021 5:12:00,Halsted St & 18th St,May St & Taylor St,0:10:00,6,classic_bike,casual
BA2DE83E19CF3D13,1/1/2021 5:06:00,1/1/2021 5:28:00,Lake Shore Dr & Belmont Ave,Clark St & Berwyn Ave,0:21:41,6,classic_bike,member
FA4391200EB06989,1/1/2021 5:08:00,1/1/2021 5:15:00,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,0:06:45,6,classic_bike,casual
5A8E369772D5A7CD,1/1/2021 5:10:00,1/1/2021 5:30:00,California Ave & Milwaukee Ave,Wood St & Hubbard St,0:19:35,6,electric_bike,casual
BDA17EE61E852C20,1/1/2021 5:12:00,1/1/2021 5:29:00,California Ave & Milwaukee Ave,Wood St & Hubbard St,0:17:28,6,electric_bike,casual
AB3D74F262CEB01F,1/1/2021 5:12:00,1/1/2021 5:17:00,Sedgwick St & Huron St,St. Clair St & Erie St,0:05:43,6,electric_bike,member
5F86D42B4B9E45E8,1/1/2021 5:19:00,1/1/2021 5:46:00,Campbell Ave & North Ave,Clark St & Leland Ave,0:27:09,6,electric_bike,casual
B4F426FF729141C1,1/1/2021 5:32:00,1/1/2021 6:04:00,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,0:32:01,6,docked_bike,casual
382A5BEF3705CB6B,1/1/2021 5:32:00,1/1/2021 6:03:00,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,0:30:16,6,docked_bike,casual
0AAC6CA8F3836DEC,1/1/2021 5:32:00,1/1/2021 5:55:00,Wood St & 35th St,,0:23:30,6,electric_bike,member
989F907179AEA694,1/1/2021 5:33:00,1/1/2021 6:04:00,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,0:31:11,6,docked_bike,casual
7BEE812F398235F6,1/1/2021 5:33:00,1/1/2021 6:04:00,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,0:31:03,6,docked_bike,casual
00285F540EF774B5,1/1/2021 5:37:00,1/1/2021 5:53:00,Indiana Ave & 26th St,Wabash Ave & 9th St,0:15:08,6,classic_bike,member
091FC1DE8BA70E5F,1/1/2021 5:40:00,1/1/2021 5:44:00,Eastlake Ter & Rogers Ave,Greenview Ave & Jarvis Ave,0:04:20,6,classic_bike,member
0ED93BE8625301F3,1/1/2021 5:40:00,1/1/2021 5:44:00,Mies van der Rohe Way & Chestnut St,Dearborn St & Erie St,0:04:09,6,electric_bike,member
5B1B0680883E4319,1/1/2021 5:43:00,1/1/2021 5:53:00,Lincoln Ave & Belle Plaine Ave,Broadway & Wilson Ave,0:10:30,6,electric_bike,member
B25234A2AEDBF49A,1/1/2021 5:43:00,1/1/2021 6:32:00,Columbus Dr & Randolph St,,0:49:22,6,electric_bike,member
A86E8A328BD11D83,1/1/2021 5:45:00,1/1/2021 5:58:00,Greenview Ave & Jarvis Ave,Clark St & Elmdale Ave,0:13:15,6,classic_bike,member
45DCB544FFD725B8,1/1/2021 5:46:00,1/1/2021 5:55:00,Broadway & Barry Ave,Broadway & Barry Ave,0:08:38,6,docked_bike,casual
986D5F1AC89DA625,1/1/2021 5:46:00,1/1/2021 5:51:00,Clark St & Winnemac Ave,Broadway & Argyle St,0:04:03,6,classic_bike,casual
CC8DEFF0F0DC62B2,1/1/2021 5:47:00,1/1/2021 5:56:00,Broadway & Barry Ave,Broadway & Barry Ave,0:08:32,6,docked_bike,casual
0BF7289A0E2D6E8B,1/1/2021 5:48:00,1/1/2021 5:50:00,Damen Ave & Coulter St,Damen Ave & Cullerton St,0:02:11,6,classic_bike,member
4378DDD92DF1B5B1,1/1/2021 5:51:00,1/1/2021 5:55:00,Damen Ave & Cullerton St,Wood St & Taylor St (Temp),0:04:52,6,electric_bike,member
D8BE75DA67649256,1/1/2021 5:53:00,1/1/2021 5:57:00,Pine Grove Ave & Waveland Ave,Clarendon Ave & Gordon Ter,0:03:52,6,electric_bike,member
257CD2589B568520,1/1/2021 5:54:00,1/1/2021 6:00:00,Dearborn St & Van Buren St,Daley Center Plaza,0:05:08,6,classic_bike,member
CB42C88A16373A6E,1/1/2021 5:55:00,1/1/2021 6:16:00,Franklin St & Lake St,Lake Shore Dr & Belmont Ave,0:20:43,6,classic_bike,member
EB63E051BB83BF0C,1/1/2021 5:55:00,1/1/2021 6:07:00,,Franklin St & Chicago Ave,0:12:32,6,electric_bike,member
950363407C7271DA,1/1/2021 5:56:00,1/1/2021 5:59:00,Clark St & Lincoln Ave,,0:02:18,6,electric_bike,casual
23026C4233A298B1,1/1/2021 6:00:00,1/3/2021 19:16:00,Wood St & Taylor St (Temp),Keystone Ave & Montrose Ave,61:15:13,6,docked_bike,casual
0882F6F4112D1DE7,1/1/2021 6:02:00,1/1/2021 6:19:00,Damen Ave & Leland Ave,Southport Ave & Roscoe St,0:17:06,6,electric_bike,casual
B06DEB0FDAADE2A6,1/1/2021 6:03:00,1/1/2021 6:10:00,Loomis St & Lexington St,Wolcott Ave & Polk St,0:06:21,6,classic_bike,member
2596AB772A205BB6,1/1/2021 6:06:00,1/1/2021 6:34:00,Wabash Ave & Roosevelt Rd,State St & Pearson St,0:28:30,6,classic_bike,member
96D1B5CC39DC61DA,1/1/2021 6:07:00,1/1/2021 6:24:00,Clark St & 9th St (AMLI),St. Clair St & Erie St,0:17:02,6,classic_bike,member
DD2BDB8D9609D3ED,1/1/2021 6:08:00,1/1/2021 6:18:00,Prairie Ave & 43rd St,,0:09:43,6,electric_bike,member
8014F78305EDC78B,1/1/2021 6:12:00,1/1/2021 6:20:00,Ashland Ave & Division St,Larrabee St & Division St,0:07:41,6,electric_bike,casual
95AE36F3D72A1E71,1/1/2021 6:16:00,1/1/2021 6:19:00,Franklin St & Chicago Ave,Dearborn Pkwy & Delaware Pl,0:03:12,6,electric_bike,member
84ECA24C09D6DC5C,1/1/2021 6:16:00,1/1/2021 6:33:00,Broadway & Berwyn Ave,Greenview Ave & Jarvis Ave,0:17:17,6,electric_bike,casual
3CD937096B817D47,1/1/2021 6:19:00,1/1/2021 6:35:00,Michigan Ave & 8th St,Paulina St & Flournoy St,0:15:20,6,classic_bike,member
366B963E0C66C874,1/1/2021 6:21:00,1/1/2021 6:34:00,Wabash Ave & 9th St,St. Clair St & Erie St,0:12:23,6,electric_bike,member
84F4E0224275D72D,1/1/2021 6:21:00,1/1/2021 6:26:00,Sheridan Rd & Irving Park Rd,Broadway & Waveland Ave,0:04:31,6,classic_bike,member
A600FFC146512050,1/1/2021 6:22:00,1/1/2021 6:25:00,Kedzie Ave & Chicago Ave,,0:02:51,6,electric_bike,member
881B8743BAC60A73,1/1/2021 6:23:00,1/1/2021 6:37:00,Halsted St & Dickens Ave,Clark St & Grace St,0:13:26,6,classic_bike,member
23AC50D60164D086,1/1/2021 6:23:00,1/1/2021 11:36:00,Clark St & Schiller St,,5:13:17,6,classic_bike,member
565A4DABED49A547,1/1/2021 6:24:00,1/1/2021 6:29:00,Clark St & Chicago Ave,Larrabee St & Oak St,0:04:56,6,electric_bike,casual
4E0B310844B50762,1/1/2021 6:26:00,1/1/2021 6:27:00,Wilton Ave & Belmont Ave,Wilton Ave & Belmont Ave,0:00:10,6,classic_bike,member
DB37E84C108F5575,1/1/2021 6:28:00,1/1/2021 6:30:00,Cornell Ave & Hyde Park Blvd,Lake Park Ave & 53rd St,0:01:27,6,electric_bike,casual
0E22672A2760ABB2,1/1/2021 6:29:00,1/1/2021 6:42:00,Ellis Ave & 60th St,Shore Dr & 55th St,0:13:05,6,classic_bike,member
DBD89EC4A1EC0C27,1/1/2021 6:29:00,1/1/2021 6:37:00,Spaulding Ave & Division St,California Ave & North Ave,0:08:25,6,classic_bike,member
8EA91ACF6FEB4D31,1/1/2021 6:31:00,1/1/2021 6:50:00,Michigan Ave & Washington St,Adler Planetarium,0:19:08,6,electric_bike,casual
318B6EDCFD1BF542,1/1/2021 6:32:00,1/1/2021 6:39:00,St. Clair St & Erie St,Sedgwick St & Huron St,0:07:05,6,classic_bike,member
8FBF3B2BC653341E,1/1/2021 6:32:00,1/1/2021 6:38:00,Halsted St & Roscoe St,Sheridan Rd & Buena Ave,0:06:13,6,electric_bike,member
77224E61690A02D7,1/1/2021 6:32:00,1/1/2021 6:59:00,Broadway & Thorndale Ave,Racine Ave & Belmont Ave,0:26:40,6,classic_bike,member
5C4296030D19D746,1/1/2021 6:34:00,1/1/2021 6:46:00,Noble St & Milwaukee Ave,Wood St & Taylor St (Temp),0:11:58,6,electric_bike,member
C44600C891694DBC,1/1/2021 6:35:00,1/1/2021 6:40:00,Broadway & Sheridan Rd,Sheridan Rd & Montrose Ave,0:04:59,6,classic_bike,member
601AA995DBE563E7,1/1/2021 6:35:00,1/1/2021 6:40:00,Broadway & Sheridan Rd,Sheridan Rd & Montrose Ave,0:04:56,6,classic_bike,member
30F5E6B59060A50A,1/1/2021 6:36:00,1/1/2021 7:02:00,Mies van der Rohe Way & Chicago Ave,Clark St & Wrightwood Ave,0:26:33,6,classic_bike,member
8037831063948D5A,1/1/2021 6:36:00,1/1/2021 6:41:00,State St & Pearson St,Wabash Ave & Grand Ave,0:05:07,6,classic_bike,member
75B388FD3E9153A1,1/1/2021 6:37:00,1/1/2021 6:48:00,Clarendon Ave & Gordon Ter,Lake Shore Dr & Wellington Ave,0:11:21,6,electric_bike,member
99616DB1C1F16369,1/1/2021 6:37:00,1/1/2021 6:45:00,May St & Taylor St,Wood St & Taylor St (Temp),0:07:40,6,classic_bike,member
9E07C828B309B0B4,1/1/2021 6:38:00,1/1/2021 6:47:00,California Ave & North Ave,Logan Blvd & Elston Ave,0:09:35,6,electric_bike,member
B37D277D89D14B48,1/1/2021 6:38:00,1/1/2021 6:46:00,Cornell Ave & Hyde Park Blvd,University Ave & 57th St,0:08:31,6,classic_bike,casual
AA4178831D19B658,1/1/2021 6:40:00,1/1/2021 6:53:00,,,0:13:03,6,electric_bike,member
38B439C0D6118F3C,1/1/2021 6:41:00,1/1/2021 6:51:00,Peoria St & Jackson Blvd,Wood St & Taylor St (Temp),0:09:46,6,electric_bike,member
D32F16371CD2CC38,1/1/2021 6:41:00,1/1/2021 6:48:00,MLK Jr Dr & 29th St,State St & 33rd St,0:07:18,6,classic_bike,member
F9F227699CD0D0F1,1/1/2021 6:43:00,1/1/2021 7:25:00,Shore Dr & 55th St,Shore Dr & 55th St,0:41:11,6,classic_bike,member
9A2B6E74BABE8FCC,1/1/2021 6:43:00,1/1/2021 6:51:00,Larrabee St & North Ave,,0:08:34,6,electric_bike,member
969109538AFD008E,1/1/2021 6:44:00,1/1/2021 9:13:00,Damen Ave & Charleston St,Lake Shore Dr & Monroe St,2:29:50,6,docked_bike,casual
35D07067DD931227,1/1/2021 6:46:00,1/1/2021 6:55:00,,Dearborn Pkwy & Delaware Pl,0:08:18,6,electric_bike,member
9662D294B646E12D,1/1/2021 6:49:00,1/1/2021 6:56:00,Broadway & Barry Ave,Theater on the Lake,0:06:25,6,electric_bike,casual
FECF44F8654F674B,1/1/2021 6:51:00,1/1/2021 7:04:00,Blackstone Ave & Hyde Park Blvd,Shore Dr & 55th St,0:12:26,6,classic_bike,member
3F7116E9099ABEE9,1/1/2021 6:51:00,1/1/2021 7:02:00,Clark St & 9th St (AMLI),Green St & Madison St,0:10:23,6,electric_bike,member
