ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,bike_type,costumer_type,ride_duration,ride_month,day_of_week
1311013FFE7CF957,10/6/2021 17:41:00,10/6/2021 17:47:00,Sedgwick St & Webster Ave,Clark St & North Ave,0:06:24,classic_bike,member,6,10,Wednesday
4172DAD5C7D18A2D,10/6/2021 17:41:00,10/6/2021 17:49:00,Clark St & Chicago Ave,DuSable Lake Shore Dr & North Blvd,0:07:28,electric_bike,member,8,10,Wednesday
AC40F1B7D174173A,10/6/2021 17:41:00,10/6/2021 18:07:00,DuSable Lake Shore Dr & North Blvd,Broadway & Cornelia Ave,0:25:50,classic_bike,member,26,10,Wednesday
556D3959725C7955,10/6/2021 17:41:00,10/6/2021 17:53:00,Wabash Ave & Roosevelt Rd,Dearborn St & Monroe St,0:11:22,classic_bike,casual,12,10,Wednesday
AA46DC81C6088542,10/6/2021 17:41:00,10/6/2021 17:49:00,Federal St & Polk St,Wabash Ave & 16th St,0:08:03,classic_bike,member,8,10,Wednesday
8702E4EEE623F726,10/6/2021 17:41:00,10/6/2021 17:45:00,Calumet Ave & 21st St,Michigan Ave & 14th St,0:04:05,electric_bike,member,4,10,Wednesday
FD28D10A50BAB5D4,10/6/2021 17:41:00,10/6/2021 18:18:00,Millennium Park,Kilbourn & Roscoe,0:37:46,electric_bike,member,37,10,Wednesday
BB2304B857E90968,10/6/2021 17:42:00,10/6/2021 17:42:00,Clark St & Armitage Ave,Clark St & Armitage Ave,0:00:02,classic_bike,member,0,10,Wednesday
C10D5C05ECDEDF5F,10/6/2021 17:42:00,10/6/2021 18:09:00,Seeley Ave & Roscoe St,Ogden Ave & Race Ave,0:26:34,classic_bike,member,27,10,Wednesday
EF1A70C21BC2206A,10/6/2021 17:43:00,10/6/2021 17:47:00,Lincoln Ave & Fullerton Ave,Racine Ave & Fullerton Ave,0:03:09,classic_bike,casual,4,10,Wednesday
45313AFE1A8835FF,10/6/2021 17:43:00,10/6/2021 18:06:00,Michigan Ave & Lake St,DuSable Lake Shore Dr & North Blvd,0:23:12,classic_bike,casual,23,10,Wednesday
8420FAFDF0B4B0B3,10/6/2021 17:43:00,10/6/2021 18:13:00,Clarendon Ave & Junior Ter,Michigan Ave & Washington St,0:30:28,electric_bike,member,30,10,Wednesday
C0DE313E424F1FC2,10/6/2021 17:43:00,10/6/2021 18:07:00,Orleans St & Hubbard St,Ashland Ave & Wellington Ave,0:23:36,classic_bike,member,24,10,Wednesday
A2E765C630DDD8E4,10/6/2021 17:43:00,10/6/2021 17:51:00,Clark St & Wrightwood Ave,Wilton Ave & Belmont Ave,0:07:46,classic_bike,member,8,10,Wednesday
5C878C5500ADEF64,10/6/2021 17:44:00,10/6/2021 17:49:00,State St & Pearson St,DuSable Lake Shore Dr & North Blvd,0:04:48,electric_bike,member,5,10,Wednesday
83D703A007FC51C9,10/6/2021 17:44:00,10/6/2021 17:51:00,Loomis St & Lexington St,Halsted St & Maxwell St,0:07:03,classic_bike,member,7,10,Wednesday
12EAF3D5A194DB6B,10/6/2021 17:44:00,10/6/2021 17:59:00,Kingsbury St & Kinzie St,DuSable Lake Shore Dr & North Blvd,0:14:53,classic_bike,casual,15,10,Wednesday
051DF04814D92A1A,10/6/2021 17:44:00,10/6/2021 17:51:00,Michigan Ave & Lake St,Millennium Park,0:06:49,docked_bike,casual,7,10,Wednesday
0DF2F9F8CC020F74,10/6/2021 17:44:00,10/6/2021 17:52:00,Federal St & Polk St,Michigan Ave & 18th St,0:07:56,classic_bike,member,8,10,Wednesday
918F37C75069FE21,10/6/2021 17:44:00,10/6/2021 17:56:00,Peoria St & Jackson Blvd,Federal St & Polk St,0:12:31,classic_bike,member,12,10,Wednesday
4C712378E8D1A971,10/6/2021 17:44:00,10/6/2021 17:59:00,Western Ave & Monroe St,Pulaski Rd & Lake St,0:14:10,electric_bike,member,15,10,Wednesday
930C2CC36022269F,10/6/2021 17:44:00,10/6/2021 17:55:00,Sheffield Ave & Webster Ave,DuSable Lake Shore Dr & North Blvd,0:11:00,electric_bike,casual,11,10,Wednesday
0341EC0474F77213,10/6/2021 17:45:00,10/6/2021 17:57:00,Michigan Ave & Washington St,Canal St & Adams St,0:12:00,classic_bike,casual,12,10,Wednesday
D938F31C8587953E,10/6/2021 17:45:00,10/6/2021 17:56:00,Michigan Ave & Pearson St,Orleans St & Merchandise Mart Plaza,0:10:35,classic_bike,member,11,10,Wednesday
DA628D35B686C7A3,10/6/2021 17:45:00,10/6/2021 17:45:00,Cityfront Plaza Dr & Pioneer Ct,Cityfront Plaza Dr & Pioneer Ct,0:00:20,electric_bike,member,0,10,Wednesday
